FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
8320.237155565146,10355.337420381828,10076.336390634951,18734.10666440015,11354.598772540754,10404.548828644261,12483.009683302429,7779.326163690129,12232.596696075181,9475.919409637947
8373.19917576727,10454.353596671386,10218.112628610294,19143.680397284854,11479.437920162984,10614.441405769217,12758.625981809791,7898.1639091413535,12501.28307101408,9579.906993778292
7340.451966661953,9488.956473376616,9266.176486858554,18165.25674680124,10551.659860945203,9714.91238419842,12020.676191651299,7130.288911366309,11217.56882573793,9033.969515462333
5857.530527005924,7681.929075844526,7758.733962074286,15404.579974403934,8968.488282376267,7965.828050735414,10242.466241969316,5947.174926344318,9060.633188197464,7825.106569629039
5200.810300001588,7211.60657300348,7208.903712648419,14317.283427972163,8523.04325071615,7306.172835621854,9877.933259752179,5542.731323728235,8336.677608002927,7279.169717566998
5306.733920239071,7434.391043195273,7208.903712648419,14667.043393561664,8009.506792193511,7226.215649254826,9851.262175962625,5046.365642516684,8635.215449667216,7071.1939230323915
4899.315859270017,7030.929695971908,6681.342689108304,13929.338453270886,7863.321100423296,6788.293581723121,9363.267003246923,5086.315675832965,8107.240205815895,6574.905855248671
4491.932672142112,6400.055559098101,5971.000153312902,12517.322693740314,7093.059256386967,6092.057401371591,8508.7930606098,4530.159167472165,7370.218214770035,6035.978663278549
5049.4040480714475,6864.908842816107,6454.855145649891,13051.600541682948,7599.488360907443,6644.950464150212,9138.405474978745,4924.523724210838,7956.826977817228,6588.379082016968
5928.491650908312,7321.463419708723,7119.116222243647,14523.673103519066,7990.529366046245,7392.378421215821,9669.082900494728,5430.938946462554,8799.137098003112,7113.833047218794
6330.516031168643,7819.519718182061,7523.261018113576,15098.79441057493,8643.003860833714,7750.735840588735,10199.756945559524,5755.779949247811,9295.50018516919,7571.920252325218
6319.795896432927,7844.424989341862,7492.172348990743,15367.18381077267,8594.450124510522,7832.645230334903,9983.888769634083,5776.082179387863,9400.788879538735,7625.813785652322
7002.0311701551855,8342.484659119697,8105.813166891367,16375.87821855066,9198.36429162901,8457.209477340619,10614.868238463787,6232.890096512741,10130.289926569902,8164.740351368527
7394.6198654676455,8599.813441641467,8397.54035527499,16614.55489156158,9398.657399360036,8743.89496336772,10924.66157458036,6476.520727680219,10438.635065663844,8461.149461509307
7701.159248496455,8915.250991693298,8668.424759981011,17253.574040276468,9741.590054826815,9132.96699929785,11298.22779846426,6699.84864502179,10882.352675186106,8690.194316570352
7432.263445903572,8666.2223608417,8544.978238524318,17365.429885485704,9844.767215324013,8948.669561411216,11289.120186871342,6608.918122432112,10611.611125706593,8663.245358018092
7889.386394344824,9164.281549004609,9058.096370066787,18354.21171526507,10318.1925098583,9470.845760276467,12036.258719451285,7027.070833278516,11175.657056709704,9161.75537469899
8061.479976910997,9272.191226555708,9173.287176139665,18887.22007865645,10172.520001438796,9644.90424352531,11999.813399094377,7118.863767750304,11461.439363759562,9107.86121511797
7848.786520579726,9067.051200868294,8906.526019201518,18294.08295287266,10038.822085076195,9478.223830530169,11812.651338574158,6902.302615540943,11123.722637804087,8977.657389508142
8123.708354856376,9310.519105760519,9180.569538991791,18697.159911877407,10304.625636982948,9779.94562746521,11996.937311222928,7127.601552747684,11502.855991726849,9156.112826907674
8743.634998781938,9805.846574051473,9707.583957253622,19635.125700694374,10808.421969671146,10393.793731209762,12522.149899347065,7547.4727994421755,12185.291506951644,9664.021662373487
8921.524361646943,9831.035034788973,9855.14630845186,19780.201309021868,10880.17912641316,10601.877186630718,12724.86068315538,7670.362864999021,12352.111087044894,9732.65846541237
8117.572239481273,9102.081944275611,9064.62863242257,18264.624122596095,10008.27967193177,9779.94562746521,11766.579845411967,7080.07651523301,11435.988208859995,8928.754473644854
7555.8781876056355,8656.642076692746,8569.235000229179,17456.316832930675,9730.01753486304,9228.524582967482,11176.86824860514,6690.1589662588485,10821.316930523344,8528.548786808386
8147.404919833442,9186.126638911519,9193.291612203706,18596.319390908102,10388.576783434553,9842.372686712035,11983.01255668594,7190.317711956947,11610.528824218592,9149.558453413347
7655.424936914062,8791.114743986027,8781.175599118898,17567.098707786925,10107.220480328317,9363.779465742015,11591.95655444132,6870.974766302342,11094.504793372435,8694.150988817359
8450.16364234834,9648.373904253796,9510.2983068671,19064.159070351714,10908.006846713357,10206.520044656465,12513.727167165001,7468.452073696699,12156.905680375818,9384.163190748675
8666.418432144372,10001.362970246408,9923.496993539256,19637.773288795925,11297.579864982872,10622.688453735815,12858.227595637189,7774.813858334991,12612.22066922271,9729.17023109521
8747.513978317882,10115.062622462636,9923.496993539256,19426.7795254273,11313.03751247883,10674.707257514578,12793.052496716737,7764.4876489849175,12680.516221861179,9646.368190709849
9520.627540905965,10681.70859253046,10518.483424557144,20559.873915065917,11810.82536266997,11184.512509870576,13388.947614838151,8270.421603809433,13454.551702900893,10143.17792800635
9919.585123979026,10845.236125203699,10843.688539834222,21256.717745656126,12056.436797562634,11529.853991518028,13803.350365173239,8418.625852351217,13799.357537516544,10500.923599276652
10191.354026882438,11294.294847356,11207.279833979512,21805.785428055256,12550.326337530012,11878.60321421372,14123.047747182816,8770.261600528109,14188.823287094543,10725.541465399094
10098.951793175098,11412.913714447426,11185.893737826507,21664.603810843273,12615.97049186317,11899.739598842432,14179.46612534375,8770.261600528109,14234.644183494302,10697.465249796403
10381.593771515165,11785.719308269963,11542.398920171394,22497.36259492961,13149.360083902182,12301.330906787982,14696.621070014215,9049.503119193352,14654.658327797852,10964.200570592468
10256.579034166029,11726.409393109323,11413.674035696089,22159.23708187456,13036.812854555552,12174.51334813442,14724.828906914205,8966.76478395494,14547.74629424221,10823.813230039847
9952.195946953778,11514.587441910015,11166.946950047915,21482.977909339526,12830.476424356868,11963.1457562537,14480.356029119206,8811.63125183317,14257.555196923704,10669.38778168588
